iter	Passed	Remaining
0	158	158312
1	160	80042
2	162	53926
3	164	40915
4	166	33064
5	168	27878
6	170	24141
7	172	21348
8	174	19185
9	176	17424
10	187	16847
11	188	15559
12	190	14474
13	196	13854
14	198	13048
15	200	12319
16	202	11697
17	204	11134
18	205	10619
19	207	10162
20	208	9742
21	210	9360
22	212	9027
23	214	8709
24	215	8419
25	217	8149
26	219	7898
27	220	7667
28	222	7456
29	224	7251
30	226	7076
31	228	6898
32	230	6741
33	232	6595
34	234	6461
35	236	6332
36	238	6199
37	240	6088
38	242	5969
39	244	5860
40	246	5758
41	260	5934
42	278	6197
43	280	6094
44	282	5997
45	284	5905
46	286	5814
47	289	5738
48	292	5684
49	303	5765
50	305	5677
51	306	5595
52	308	5519
53	311	5460
54	313	5382
55	315	5310
56	317	5253
57	320	5202
58	322	5145
59	324	5084
60	326	5023
61	328	4964
62	330	4909
63	333	4876
64	335	4829
65	339	4809
66	343	4776
67	348	4777
68	350	4724
69	351	4674
70	353	4624
71	355	4578
72	356	4532
73	365	4577
74	367	4532
75	369	4488
76	370	4446
77	372	4403
78	374	4363
79	375	4323
80	378	4296
81	380	4259
82	382	4222
83	383	4186
84	384	4142
85	386	4107
86	387	4065
87	389	4032
88	390	3999
89	393	3978
90	395	3951
91	397	3922
92	399	3892
93	401	3872
94	403	3843
95	405	3815
96	408	3806
97	410	3781
98	412	3755
99	414	3726
100	415	3702
101	416	3669
102	418	3644
103	419	3618
104	422	3602
105	424	3579
106	426	3556
107	428	3538
108	430	3519
109	432	3501
110	434	3483
111	437	3470
112	439	3452
113	441	3431
114	443	3409
115	444	3390
116	446	3369
117	448	3349
118	449	3326
119	451	3312
120	453	3294
121	455	3275
122	455	3250
123	457	3230
124	458	3211
125	460	3193
126	461	3175
127	462	3152
128	464	3135
129	467	3131
130	469	3116
131	471	3101
132	473	3085
133	475	3070
134	476	3054
135	478	3038
136	480	3024
137	482	3013
138	484	3000
139	486	2985
140	487	2970
141	489	2956
142	490	2941
143	492	2929
144	495	2919
145	497	2907
146	498	2894
147	500	2882
148	502	2870
149	504	2856
150	505	2844
151	507	2831
152	510	2827
153	512	2816
154	514	2806
155	516	2795
156	518	2783
157	520	2771
158	521	2759
159	523	2748
160	528	2753
161	530	2745
162	532	2735
163	534	2725
164	536	2715
165	538	2705
166	541	2699
167	543	2689
168	545	2681
169	546	2670
170	548	2659
171	550	2649
